Municipios,Ano,Cacao,Cafe,Cana de azucar (1),Cana panelera (1),Platano (2)
Obando,2000.00,0,1315,184110,715,3146
Palmira,2000.00,0,435,3562375,1026,2592
Pradera,2000.00,0,488,1146659,0,130
Restrepo,2000.00,0,2793,0,33865,3156
Riofr?o,2000.00,4,5834,280390,2600,8410
Roldanillo,2000.00,4,1602,78100,2700,853
San Pedro,2000.00,0,470,503580,26975,1170
Sevilla,2000.00,0,7542,0,13500,5544
Toro,2000.00,0,2407,110469,1239,1890
Trujillo,2000.00,0,7147,12133,1725,3902
Tulu?,2000.00,2,4971,1461438,4968,3987
Ulloa,2000.00,0,2264,0,0,171
Versalles,2000.00,0,798,0,9200,2450
Vijes,2000.00,0,776,0,540,500
Yotoco,2000.00,0,1565,304792,1260,4611
Yumbo,2000.00,0,548,136048,826,280
Zarzal,2000.00,0,0,1472759,1560,180
